,지역명,평당분양가격,연도,월
865,경남,8900.1,2018,3
866,제주,12952.5,2018,3
867,서울,22575.3,2018,4
868,인천,11408.1,2018,4
869,경기,12734.7,2018,4
870,부산,12747.9,2018,4
871,대구,11629.2,2018,4
872,광주,9520.5,2018,4
873,대전,9807.6,2018,4
874,울산,10474.2,2018,4
875,세종,10332.3,2018,4
876,강원,7514.099999999999,2018,4
877,충북,8682.3,2018,4
878,충남,7900.2,2018,4
879,전북,7646.099999999999,2018,4
880,전남,7771.5,2018,4
881,경북,8052.0,2018,4
882,경남,8877.0,2018,4
883,제주,12952.5,2018,4
884,서울,22832.7,2018,5
885,인천,11338.8,2018,5
886,경기,13157.1,2018,5
887,부산,12714.9,2018,5
888,대구,12048.3,2018,5
889,광주,9589.8,2018,5
890,대전,9807.6,2018,5
891,울산,10474.2,2018,5
892,세종,10332.3,2018,5
893,강원,7553.7,2018,5
894,충북,8698.8,2018,5
895,충남,8094.9,2018,5
896,전북,7675.799999999999,2018,5
897,전남,7774.799999999999,2018,5
898,경북,8672.4,2018,5
899,경남,8893.5,2018,5
900,제주,12952.5,2018,5
901,서울,22090.2,2018,6
902,인천,11127.6,2018,6
903,경기,12959.1,2018,6
904,부산,12817.2,2018,6
905,대구,12107.7,2018,6
906,광주,9900.0,2018,6
907,대전,9807.6,2018,6
908,울산,10312.5,2018,6
909,세종,10332.3,2018,6
